code,cx,cy
W06000003,283987,361802
W06000004,309404,355776
W06000005,322419,369649
W06000006,331795,344142
W06000008,258574,263991
W06000009,201312,221152
W06000010,251227,224511
W06000011,257445,195641
W06000012,279564,199348
W06000013,289150,185340
W06000014,302809,172697
W06000015,316778,179542
W06000016,300745,195665
W06000018,316753,195610
W06000019,317699,208201
W06000020,327301,200555
W06000021,340238,206911
W06000022,333448,186541
W06000023,303993,270454
W06000024,306153,205467
E06000007,362665,389223
E06000008,369254,421850
E06000009,331921,436188
E06000010,509765,430588
E06000013,493268,411782
E06000016,459135,304861
E06000022,367057,162001
E06000025,367431,183263
E06000030,417817,185857
E06000033,589363,185610
E06000034,564863,181237
E06000046,449779,86461
E06000049,376729,364874
E06000052,199168,59975
E07000011,521228,276573
E07000039,429750,326002
E07000040,313793,96775
E07000044,270440,54205
E07000064,578409,119997
E07000065,554434,120966
E07000066,570901,190821
E07000073,545614,209915
E07000078,395079,221973
E07000081,383531,216834
E07000083,394038,227458
E07000090,471226,104842
E07000103,510556,197803
E07000112,610024,132599
E07000119,339324,432384
E07000120,374414,429238
E07000124,370849,445761
E07000136,532926,343714
E07000142,501339,389522
E07000147,613546,332832
E07000168,488815,497619
E07000174,455327,364075
E07000198,401331,353540
E07000202,616698,244356
E07000214,492648,161313
E08000001,369187,409211
E08000019,430011,389797
E09000012,534348,185478
E07000075,594750,191782
E07000077,556816,228707
E07000105,596857,139969
E06000053,91546,11139
E09000001,532539,181164
